table,workload,threads,ops,read_frac_config,read_frac_measured,key_space,throughput_mops,p50_ns,p99_ns,p999_ns,max_ns,insert_attempts,insert_successes,remove_attempts,remove_successes,lookup_attempts,lookup_hits,wall_seconds,seed,repeat,git_sha
cuckoo_striped,trace,1,995000,0.900000,0.604441,10000000,13.223206,50,204,864,15416,355819,355819,37762,37762,601419,245601,0.075246,43,1,2014b36
cuckoo_striped,trace,2,990000,0.900000,0.604243,10000000,14.385344,56,2250,5337,17416,354037,354037,37762,37762,598201,232681,0.068820,43,1,2014b36
cuckoo_striped,trace,4,980000,0.900000,0.604296,10000000,14.310861,76,5855,12494,46833,350028,350028,37762,37762,592210,221161,0.068479,43,1,2014b36
cuckoo_striped,trace,8,960000,0.900000,0.603430,10000000,8.483210,94,21920,47920,100292,343958,343953,36749,32210,579293,208497,0.113165,43,1,2014b36
cuckoo_striped,trace,16,920000,0.900000,0.604221,10000000,6.999871,93,56095,124224,341542,328568,328558,35549,28329,555883,194106,0.131431,43,1,2014b36
hopscotch,trace,1,995000,0.900000,0.604441,10000000,10.339390,52,719,1085,22709,355819,355819,37762,37762,601419,245601,0.096234,43,1,2014b36
hopscotch,trace,2,990000,0.900000,0.604243,10000000,9.068979,61,2946,5846,137500,354037,354037,37762,37762,598201,232648,0.109163,43,1,2014b36
hopscotch,trace,4,980000,0.900000,0.604296,10000000,6.717839,69,9332,24527,148125,350028,350028,37762,37762,592210,220024,0.145880,43,1,2014b36
hopscotch,trace,8,960000,0.900000,0.603430,10000000,5.827833,68,28284,60269,140208,343958,343953,36749,32792,579293,207756,0.164727,43,1,2014b36
hopscotch,trace,16,920000,0.900000,0.604221,10000000,2.158534,116,126547,396628,2967000,328568,328558,35549,30426,555883,194687,0.426215,43,1,2014b36
chaining_coarse,uniform,8,460000,1.000000,1.000000,10000000,5.458105,75,31170,80831,239708,0,0,0,0,460000,4676,0.084278,43,1,2014b36
chaining_coarse,uniform,8,460000,0.500000,0.501233,10000000,5.012108,80,31514,92409,228208,114759,112873,114674,1930,230567,3797,0.091778,43,1,2014b36
chaining_coarse,uniform,8,460000,0.100000,0.100800,10000000,4.818387,83,31948,96836,257625,207316,202742,206316,4495,46368,1060,0.095468,43,1,2014b36
chaining_fine,uniform,8,460000,1.000000,1.000000,10000000,52.212155,98,247,344,13208,0,0,0,0,460000,4676,0.008810,43,1,2014b36
chaining_fine,uniform,8,460000,0.500000,0.501233,10000000,35.962083,119,618,2334,127208,114759,112873,114674,1919,230567,3809,0.012791,43,1,2014b36
chaining_fine,uniform,8,460000,0.100000,0.100800,10000000,27.952975,191,838,2999,41000,207316,202737,206316,4485,46368,1057,0.016456,43,1,2014b36
cuckoo_optimistic,uniform,8,460000,1.000000,1.000000,10000000,80.274567,61,236,318,31875,0,0,0,0,460000,4676,0.005730,43,1,2014b36
cuckoo_optimistic,uniform,8,460000,0.500000,0.501233,10000000,39.922037,119,599,759,21375,114759,112873,114674,1927,230567,3801,0.011522,43,1,2014b36
cuckoo_optimistic,uniform,8,460000,0.100000,0.100800,10000000,26.689231,226,749,893,36292,207316,202742,206316,4502,46368,1057,0.017235,43,1,2014b36
cuckoo_striped,uniform,8,460000,1.000000,1.000000,10000000,8.429334,106,23849,42992,75625,0,0,0,0,460000,4676,0.054571,43,1,2014b36
cuckoo_striped,uniform,8,460000,0.500000,0.501233,10000000,7.701081,108,24753,44947,89958,114759,112872,114674,1925,230567,3801,0.059732,43,1,2014b36
cuckoo_striped,uniform,8,460000,0.100000,0.100800,10000000,7.018860,111,25789,46974,93125,207316,202743,206316,4496,46368,1053,0.065538,43,1,2014b36
hopscotch,uniform,8,460000,1.000000,1.000000,10000000,50.057359,53,1597,3390,17041,0,0,0,0,460000,4676,0.009189,43,1,2014b36
hopscotch,uniform,8,460000,0.500000,0.501233,10000000,3.992475,83,36777,89663,196292,114759,112873,114674,1922,230567,3804,0.115217,43,1,2014b36
hopscotch,uniform,8,460000,0.100000,0.100800,10000000,3.404733,95,44355,110363,250958,207316,202741,206316,4503,46368,1055,0.135106,43,1,2014b36
chaining_coarse,uniform,8,460000,0.950000,0.949950,100000,7.141744,43,28302,64763,185834,11527,5699,11496,5713,436977,218673,0.064410,43,1,2014b36
chaining_fine,uniform,8,460000,0.950000,0.949950,100000,69.252776,78,304,454,13375,11527,5701,11496,5711,436977,218694,0.006642,43,1,2014b36
cuckoo_optimistic,uniform,8,460000,0.950000,0.949950,100000,106.252964,38,320,451,5750,11527,5692,11496,5717,436977,218759,0.004329,43,1,2014b36
cuckoo_striped,uniform,8,460000,0.950000,0.949950,100000,9.528034,88,22605,36958,74709,11527,5703,11496,5719,436977,218644,0.048279,43,1,2014b36
hopscotch,uniform,8,460000,0.950000,0.949950,100000,32.273153,44,5309,28629,82542,11527,5699,11496,5720,436977,218698,0.014253,43,1,2014b36
chaining_coarse,uniform,1,495000,0.950000,0.950321,10000000,14.499174,55,169,249,10042,12361,12222,12230,134,470409,4999,0.034140,44,2,2014b36
chaining_coarse,uniform,2,490000,0.950000,0.950355,10000000,10.171163,58,2104,16364,66708,12233,12098,12093,133,465674,4978,0.048175,44,2,2014b36
chaining_coarse,uniform,4,480000,0.950000,0.950381,10000000,4.358634,85,17214,49672,101583,11978,11848,11839,130,456183,4905,0.110126,44,2,2014b36
chaining_coarse,uniform,8,460000,0.950000,0.950465,10000000,5.408316,76,31154,83879,242500,11465,11339,11321,126,437214,4700,0.085054,44,2,2014b36
chaining_coarse,uniform,16,420000,0.950000,0.950479,10000000,6.922240,71,58041,261583,2167292,10457,10340,10342,116,399201,4291,0.060674,44,2,2014b36
chaining_fine,uniform,1,495000,0.950000,0.950321,10000000,11.451673,67,218,312,14083,12361,12222,12230,134,470409,4999,0.043225,44,2,2014b36
chaining_fine,uniform,2,490000,0.950000,0.950355,10000000,20.536283,68,223,868,13375,12233,12098,12093,134,465674,4983,0.023860,44,2,2014b36
